understat_player_id,player_name
5081,Edu Expósito
5086,Marc Roca
5091,Alex Berenguer
5137,Álex Muñoz
5140,Kike Barja
5159,Marc Cardona
5173,Asier Villalibre
5179,Jon Guridi
5199,Raba
5212,Sergi Guardiola
548,Daley Blind
552,Ander Herrera
5615,Valentin Rosier
565,Nyom
5656,Nicolas Pepe
5666,Mouctar Diakhaby
5672,Iván Balliu
5681,Giovani Lo Celso
5706,Dodi Lukebakio
5724,Irvin Cardona
5947,Mihailo Ristic
6075,Antonio Sivera
6079,Fabio González
6087,Takuma Asano
6118,Portu
6121,Juanpe
6126,Ander Guevara
6144,Sébastien Haller
6149,Unai Núñez
6151,Djené Dakonam
616,Jesús Navas
6168,Leandro Cabrera
620,Kelechi Iheanacho
6227,Brais Méndez
6241,Federico Valverde
6242,Johan Mojica
6257,Juan Soriano
6306,Juan Foyth
6324,Marash Kumbulla
6325,Andoni Gorosabel
6400,Antonio Martínez
6421,Brahim Diaz
6427,Aitor Ruibal
6433,Jules Koundé
6441,Ferrán Torres
6470,José Arnáiz
6500,Romain Perraud
6501,Andy Pelmard
6531,Alexander Sørloth
6560,Aurelien Tchouameni
6570,Óscar Rodríguez
6592,Manuel Morlanes
6637,Hugo Duro
6643,Francisco Vieites
6656,Sergio Gómez
6712,Enzo Loiodice
6759,Juan Cruz
6766,Dani Vivian
680,Thibaut Courtois
681,César Azpilicueta
689,Kenedy
6916,Fernando Calero
6918,Anuar Mohamed
6924,Miguel De la Fuente
6926,William Carvalho
6931,Fran Beltrán
6933,Javi Puado
6935,Naif Aguerd
6942,Arthur
6954,Juan Camilo Hernández
6955,Ezequiel Ávila
7008,Vinícius Júnior
7009,Jaime Mata
7020,Gorka Guruzeta
7050,Lucas Torró
7070,Santiago Comesaña
7071,Álvaro García
7174,Adrià Pedrosa
7186,Juan Berrocal
7195,Roberto López
7245,Javi Sánchez
7246,Valery Fernández
7276,Robin Le Normand
7306,Aihen Muñoz
7308,Ander Barrenetxea
7338,Bryan Gil Salvatierra
7350,Yangel Herrera
7359,Eduardo Camavinga
7385,Javi Galán
7412,Antonio Candela
7424,Alex Sola
7432,Reinildo
7515,Andrei Ratiu
7526,Martín Zubimendi
7528,Sergio Camello
7529,Iván Martín
7549,Abel Ruiz
7604,Alejandro Catena
7605,Manuel Sánchez
7609,Carles Pérez
7613,Moussa Diarra
7655,Carl Starfelt
770,Ayoze Pérez
7779,Oihan Sancet
7781,Frenkie de Jong
7810,Ruben Vargas
7825,Iker Losada
7826,Joseph Aidoo
7828,Jorge Sáenz
7829,Eder Militão
7835,Aritz Arambarri
7838,Martin Valjent
7841,Dani Rodríguez
7845,Aleksander Sedlar
7856,Aridane Hernández
7857,Jon Moncayola
7860,Domingos Duarte
7870,Luis Rioja
7882,Sheraldo Becker
7888,Nemanja Gudelj
7916,Pol Lozano
7967,Anssumane Fati
7981,Nianzou Kouassi
8001,Takefusa Kubo
8002,Rodrigo Riquelme
8014,Abdón Prats
8015,Rodrygo
8017,Alex Kral
8026,Raphinha
8042,Raul García
8045,Eric Garcia
8058,Thierry Correia
8066,Arnaut Danjuma Groeneveld
8070,Mateu Morey
8091,Ronald Araújo
8107,Jorge De Frutos
8122,Sergio Carreira
8165,Lucien Agoume
8200,Logan Costa
8230,German Valera
8292,Dani Olmo
8334,Hugo Guillamón
8409,Juanlu Sanchez
8410,Rodrigo Sánchez
8413,Javier López
8417,Álex Baena
842,Oriol Romeu
8422,Javi Hernández
8423,Jon Pacheco Dozagarat
8424,Aimar Oroz
8429,Luka Romero
8470,Kike Pérez
8513,Miguel Gutiérrez
8584,Raul Moro
8665,Loic Bade
8689,Yvan Neyou
8694,Chidera Ejuke
8696,Pape Alassane Gueye
8710,Renato Tapia
8725,Luis Milla
8733,Alfonso Espino
8744,Juan Cruz
8760,Arsen Zakharyan
8762,Luis Pérez
8765,Roberto Navarro
8774,Dani Gómez
8778,Fabio Silva
8821,Donny van de Beek
8824,Jude Bellingham
8861,Urko Gonzalez
8863,Marvin Park
8933,Marcos de Sousa
8935,Pedri
8948,Aitor Paredes
8963,Nahuel Molina
897,Juanmi
8986,Omar Alderete
9002,Vedat Muriqi
9011,Óscar Mingueza
9015,Cenk Özkacar
9024,Yeremi Pino
9040,Conor Gallagher
9170,John Finn
9211,Nico Williams
9217,Jesús Vázquez
9218,Juan Iglesias
9241,Alfon
9243,Ilaix Moriba
9280,Antonio Blanco
9293,Hugo Novoa Ramos
9297,Abdelkabir Abqar
9465,Beñat Turrientes
9466,Jon Ander Olasagasti
9505,Beñat Prados
9519,Carlos Domínguez
9520,Hugo Sotelo
9689,Albert Sambi Lokonga
9694,Diego López
9754,Brian Oliván
9755,Inigo Ruiz de Galarreta
9765,Enric Franquesa
9768,Jesús Areso
9773,Joan García
9778,Henrique
9796,Giuliano Simeone
9804,Gavi
9805,Álex Balde
9809,José Ángel Carmona
9810,Fran García
9811,Óscar Valentín
9812,Isi Palazón
9813,Randy Nteka
9815,Pathé Ciss
9825,Nicolás Serrano
9897,Gonzalo Montiel
9970,Antonio Sánchez
