understat_player_id,player_name
10024,Cristhian Mosquera
1003,Pablo Maffeo
10078,Hugo Álvarez
10095,Abdessamad Ezzalzouli
10101,Carlos Martín
10107,César Tárrega
10121,Ilias Akhomach
10128,Javi Llabrés
10143,Bryan Zaragoza
10188,Peter
10209,Jofre Carreras
10224,Mika Mármol
10322,Javier Guerra
10327,Chiquinho
10334,Kike Salas
10364,Nahuel Tenaglia
10382,Eray Cömert
10399,Juan Latasa
10494,Pablo Barrios Rivas
10561,Jesús Santiago
10614,Damián Rodríguez
10723,Stefan Bajcetic
10757,Scott McKenna
1078,Sergi Canos
10846,Julián Álvarez
10857,Pablo Ibáñez
10858,Jorge Herrando
10870,Williot Swedberg
10875,Omar El Hilali
10884,Álvaro Aguado
10888,David Torres
10930,Etta Eyong
10943,Samuel Lino
10944,Fran Pérez
10947,Ramón Terrats
10949,Arnau Martinez
10953,Pau Victor
10974,Samú Costa
10982,Copete
11025,Pablo Torre
11057,André Almeida
11087,Pep Chavarría
1109,Lucas Ocampos
11094,Antony
11105,Abdul Mumin
11140,Enzo Barrenechea
11147,Lucas Rosa
11151,Marc Casadó
11154,Pablo Durán
11185,Pablo Marín
11186,Alvaro Rodríguez
11265,Diego Hormigo
11266,Manu Bueno
1129,Suso
11322,Viktor Tsygankov
11340,Cyle Larin
11349,Mario Martín
11358,José Gragera
11379,Selim Amallah
11395,Iker Muñoz
11402,Carlos Romero
1145,Rodrigo de Paul
11527,Lamine Yamal
11531,Unai Gómez
11568,Mario Maroto
116,Florian Grillitsch
11634,Daniel Rodríguez
11706,Martín Tejón
11737,Silvi Clua
11738,Iker Almena
11742,Álex Suárez
11743,Kirian Rodríguez
11744,Sergi Cardona
11746,Pejiño
11747,Juan Herzog
11749,Siebe Van der Heyden
11783,Akor Adams
11822,Fermín López
11825,Abderrahmane Rebbach
11826,Carlos Benavídez
11834,Adrià Alti
11890,Natan
11953,Sergi Altimira
11989,Walid Cheddira
12005,Pau Cubarsí
12030,Tasos Douvikas
12035,Gonzalo García
12039,Bertug Yildirim
12046,Jhon Solis
12081,Assane Diao
12105,Alejo Véliz
12115,Adrián Niño
12139,Yarek Gasiorowski
12154,Nabil Aberdin
12160,Alberto Moleiro
12171,Hector Fort
12180,Javier Rodríguez
12182,Jon Aramburu
12190,Arda Güler
12227,Álex Padilla
12263,Mikel Jauregizar
12275,Willy Kambwala
12294,Carlos Vicente
12300,Jaílson
12302,Vitor Roque
12305,Isaac Romero
12322,Tajon Buchanan
12323,Johnny Cardoso
1235,Ante Budimir
12353,Jon Martín
12371,Adam Aznou
12426,Stanis Idumbo Muzambo
12436,Jacobo Ramón
12498,Valentín Barco
12566,Alberto Risco
12716,Tomás Conechny
12717,Stoichkov
12718,Adrián Pica
12721,Ladislav Krejcí
12722,Gabriel Misehouy
12723,Alejandro Francés
12724,Adama Boiro
12726,Christantus Uche
12737,Viti Rozada
12738,Manu Fuster
12742,Peque
12790,Abel Bretones
12791,Sergio González
12792,Seydouba Cissé
12793,Julián Chicco
12794,Diego García
12817,Rodrigo Abajas
12820,Marc Bernal
12821,Gerard Martín
12862,Luka Sucic
12863,Pedro Díaz
12883,Marc Domenech
12884,Endrick
12893,Enzo Boyomo
12894,Stanko Juric
12895,Víctor Meseguer
12896,Chuki
12901,Antoniu Roca
12903,Rafael Bauza
12914,Pau Navarro
12916,Thierno Barry
12951,Jan Salas
12995,Bojan Miovski
13001,Álvaro Djaló
13003,Santiago Mouriño
13005,Yáser Asprilla
13029,Naci Ünüvar
13036,Pau Cabanes De La Torre
13047,Coba da Costa
13048,Orri Óskarsson
13059,Jesús Rodriguez
13094,Dário Essugo
13100,Juma Bah
13105,Abdoulaye Keita
13123,Peio Canales
13171,Papa Dame Ba
13198,Ramón Martínez
13200,Fernando López
13201,Raúl
13267,Arkaitz Mariezkurrena
13271,Adrián Arnu
13279,Víctor Muñoz
13285,Thiago Ojeda
13294,García Pascual
13319,Facundo Garcés
13350,Roberto Fernández
13366,Sergio Viera
13374,Ángel Ortiz
13381,Leandro Antonetti
13404,Tamás Nikitscher
13417,Maroan Sannadi
13436,Iván Jaime
13438,Duk
13531,Diego Martín
13561,Yan Diomande
13629,Ibrahim Alani
1450,Umar Sadiq
1588,Raúl Albiol
1621,Marcos Alonso
1709,Cristhian Stuani
1736,Oliver McBurnie
1739,Eric Bailly
1822,Antonio Rüdiger
1857,David López
200,Andreas Christensen
2106,Munir
2120,Gerard Moreno
2122,Joan Jordán
2163,Diego Llorente
2166,Adrián Embarba
2183,Rubén García
2198,Moi Gómez
2228,Aritz Elustondo
2229,Yuri
2234,Mikel Oyarzabal
2249,James Rodríguez
2250,Luka Modric
2252,Borja Mayoral
2253,Lucas Vázquez
2255,Isco
2260,Daniel Carvajal
2266,Saúl Ñíguez
2269,Koke
227,Robert Lewandowski
2270,Antoine Griezmann
2275,Ángel Correa
2278,Giménez
2282,Sergi Gómez
2290,Iago Aspas
2306,Cédric Bakambu
2308,Denis Suárez
2335,Pablo Fornals
2378,Daniel Parejo
2399,Iñaki Williams
2403,Íñigo Lekue
2417,Igor Zubeldia
2433,Mamadou Sylla
2446,Dani Ceballos
2452,De Marcos
2453,Marc Bartra
2456,Omar Mascarell
2484,Iñigo Martínez
2505,José Gayá
2509,Dimitri Foulquier
2518,Marcos Llorente
2519,Tejero
2521,Alfonso
2532,Amath Diedhiou
2537,Sandro Ramírez
2543,Borja Iglesias
2551,Pepelu
2584,Raíllo
2589,Rafa Mir
2609,Gerard Gumbau
2621,Sergi Darder
2624,Djibril Sow
3059,Axel Witsel
308,Ricardo Rodríguez
3208,Óscar Trejo
323,Adnan Januzaj
3239,Hamari Traore
3264,Mauro Arambarri
3399,Youssouf Sabaly
3423,Kylian Mbappe-Lottin
3425,Thomas Lemar
3667,Nabil Fekir
3749,Jonathan Bamba
4034,José Campaña
4091,Unai López
414,Juan Bernat
4168,Javi Muñoz
4169,Iván Sánchez
4175,Pere Milla
4226,Darwin Machís
451,Matija Nastasic
492,Héctor Bellerín
5037,Darko Brasanac
5041,Benito Ramírez
5043,Kiko Femenía
5050,Clement Lenglet
5058,Carles Aleñá
5062,Yeray Álvarez
5065,Diego Rico
5073,Florian Lejeune
5074,Kike García
5075,Rubén Peña
5077,Mikel Vesga
