understat_team_id,team_name
138,Sevilla
140,Real Sociedad
141,Espanyol
142,Getafe
143,Atletico Madrid
144,Las Palmas
145,Rayo Vallecano
146,Valencia
147,Athletic Club
148,Barcelona
150,Real Madrid
152,Celta Vigo
153,Real Betis
154,Villarreal
157,Osasuna
158,Alaves
159,Leganes
223,Girona
231,Real Valladolid
239,Mallorca
