shot_id,match_id,player_id,team_id,minute,x,y,xg,result,shot_type,situation,data_source
22719,1900,689,4,57,89.6700,35.5000,0.0707,Saved,Left Foot,Open Play,understat
22720,1900,666,4,58,95.7600,30.8700,0.0307,Saved,Head,From Corner,understat
22721,1900,681,4,63,99.2200,34.9500,0.5040,Off T,Head,Open Play,understat
22722,1900,684,4,70,91.2500,41.8200,0.0708,Blocked,Right Foot,Open Play,understat
22723,1900,666,4,72,99.5400,31.4800,0.5112,Off T,Head,Set Piece,understat
22724,1900,681,4,76,84.7300,37.6700,0.0506,Blocked,Left Foot,Open Play,understat
22725,1900,681,4,77,91.9800,36.6500,0.0185,Saved,Head,Open Play,understat
22726,1900,681,4,78,85.5700,37.3300,0.0403,Blocked,Right Foot,From Corner,understat
22727,1900,684,4,82,83.9000,42.5000,0.0253,Saved,Right Foot,Open Play,understat
22728,1900,665,4,85,92.5000,38.1500,0.0480,Saved,Left Foot,From Corner,understat
22729,1900,665,4,93,94.0800,30.6700,0.0302,Off T,Head,From Corner,understat
22730,1901,351,8,14,95.0200,32.7100,0.2801,Off T,Head,From Corner,understat
22731,1901,354,8,16,79.3800,20.0600,0.0157,Blocked,Left Foot,Open Play,understat
22732,1901,351,8,43,100.9000,31.9600,0.5927,Goal,Head,Open Play,understat
22733,1901,351,8,47,97.9700,35.2900,0.5904,Blocked,Left Foot,Open Play,understat
22734,1901,351,8,52,95.5500,35.0200,0.0545,Off T,Head,Set Piece,understat
22735,1901,333,8,53,80.2200,46.7200,0.0186,Off T,Right Foot,Open Play,understat
22736,1901,510,2,5,89.4600,31.0800,0.0859,Blocked,Left Foot,Open Play,understat
22737,1901,508,2,18,79.5900,19.2400,0.0170,Saved,Left Foot,Open Play,understat
22738,1901,484,2,27,91.8800,35.9000,0.0543,Off T,Head,Set Piece,understat
22739,1901,510,2,36,83.4800,33.1200,0.0688,Off T,Right Foot,Open Play,understat
22740,1901,508,2,38,76.3300,25.7700,0.0500,Blocked,Left Foot,Direct Freekick,understat
22741,1901,510,2,49,97.5500,20.2000,0.0263,Off T,Right Foot,Open Play,understat
22742,1901,515,2,50,102.3800,35.0900,0.9051,Goal,Right Foot,Open Play,understat
22743,1901,510,2,45,94.4000,31.3500,0.4331,Saved,Right Foot,Open Play,understat
22744,1901,515,2,48,92.9200,34.0000,0.7433,Goal,Right Foot,Penalty,understat
22745,1901,514,2,56,91.8800,42.4300,0.2973,Saved,Left Foot,Open Play,understat
22746,1901,515,2,69,92.5000,31.6900,0.1241,Blocked,Left Foot,Open Play,understat
22747,1901,501,2,84,78.4300,26.7200,0.0279,Off T,Right Foot,Open Play,understat
22748,1901,515,2,93,93.0300,40.3200,0.1158,Off T,Left Foot,Open Play,understat
22749,1902,110,6,11,94.2900,30.8700,0.0920,Off T,Head,Open Play,understat
22750,1902,116,6,24,95.3400,41.3400,0.1240,Saved,Left Foot,Open Play,understat
22751,1902,121,6,25,101.3200,38.7600,0.1452,Blocked,Head,Open Play,understat
22752,1902,94,6,29,101.3200,29.6500,0.3648,Off T,Head,From Corner,understat
22753,1902,121,6,52,85.6800,39.6400,0.0371,Blocked,Left Foot,Open Play,understat
22754,1902,110,6,52,91.9800,32.5700,0.3670,Saved,Left Foot,Open Play,understat
22755,1902,116,6,53,88.5200,20.0600,0.0503,Off T,Right Foot,Open Play,understat
22756,1902,256,22,0,99.7500,27.6800,0.4185,Blocked,Right Foot,Open Play,understat
22757,1902,272,22,0,76.4400,20.4000,0.0176,Blocked,Left Foot,From Corner,understat
22758,1902,255,22,0,70.3500,36.6500,0.0123,Off T,Left Foot,From Corner,understat
22759,1902,272,22,33,75.3900,30.2600,0.0152,Off T,Left Foot,Open Play,understat
22760,1902,250,22,37,73.1800,30.2600,0.0411,Saved,Right Foot,Direct Freekick,understat
22761,1902,250,22,39,96.3900,34.2000,0.0510,Blocked,Head,From Corner,understat
22762,1902,256,22,39,96.9200,36.4500,0.0523,Off T,Head,From Corner,understat
22763,1902,255,22,61,76.5500,39.7800,0.0126,Blocked,Left Foot,Open Play,understat
22764,1902,259,22,64,90.4000,32.7800,0.3846,Saved,Right Foot,Open Play,understat
22765,1902,270,22,66,92.4000,26.4500,0.1944,Goal,Right Foot,Open Play,understat
22766,1902,273,22,83,91.0300,36.3100,0.3729,Goal,Left Foot,Open Play,understat
22767,1903,232,23,4,89.8800,26.5900,0.0687,Off T,Left Foot,Open Play,understat
22768,1903,232,23,36,94.6000,40.1900,0.0523,Off T,Head,Open Play,understat
22769,1903,237,23,41,98.2800,49.1000,0.0324,Saved,Left Foot,Open Play,understat
22770,1903,239,23,41,101.9500,38.5600,0.5755,Saved,Left Foot,Open Play,understat
22771,1903,239,23,52,96.9200,30.1200,0.2785,Goal,Head,From Corner,understat
22772,1903,239,23,55,92.0800,31.4200,0.0209,Saved,Head,Open Play,understat
22773,1903,222,23,74,75.1800,34.4100,0.0143,Off T,Left Foot,From Corner,understat
22774,1903,230,23,86,85.8900,32.1000,0.0550,Blocked,Right Foot,Open Play,understat
22775,1903,230,23,86,91.0300,30.2600,0.0880,Off T,Right Foot,Open Play,understat
22776,1903,230,23,88,89.1500,35.4300,0.1025,Off T,Left Foot,Open Play,understat
22777,1903,160,9,12,90.5100,42.5700,0.0677,Goal,Right Foot,Open Play,understat
22778,1903,160,9,17,93.6600,21.9000,0.0916,Saved,Right Foot,Open Play,understat
22779,1903,132,9,20,74.2300,29.3100,0.0197,Off T,Right Foot,Open Play,understat
22780,1903,157,9,60,86.9400,49.0300,0.0453,Off T,Right Foot,Open Play,understat
22781,1903,157,9,63,80.0100,27.0000,0.0248,Blocked,Left Foot,Open Play,understat
22782,1903,160,9,80,82.3200,25.9800,0.0375,Blocked,Right Foot,From Corner,understat
22783,1903,153,9,80,80.2200,21.9000,0.0222,Saved,Left Foot,Open Play,understat
22784,1903,153,9,93,76.7500,34.1400,0.0142,Off T,Right Foot,Open Play,understat
22785,1904,49,10,2,73.9200,44.1300,0.0154,Off T,Right Foot,Open Play,understat
22786,1904,83,10,13,96.2800,22.1000,0.1081,Blocked,Right Foot,Open Play,understat
22787,1904,49,10,13,98.0700,33.9300,0.3441,Blocked,Head,From Corner,understat
22788,1904,72,10,42,60.1600,42.1600,0.0091,Off T,Right Foot,Open Play,understat
22789,1904,72,10,44,91.5600,36.9200,0.1418,Blocked,Right Foot,Open Play,understat
22790,1904,49,10,56,76.0200,23.8700,0.0184,Off T,Right Foot,Open Play,understat
22791,1904,83,10,58,91.7700,30.0600,0.0539,Off T,Head,Open Play,understat
22792,1904,58,10,58,93.2400,47.6700,0.0640,Blocked,Right Foot,Open Play,understat
22793,1904,67,10,60,79.5900,29.7200,0.0328,Blocked,Left Foot,Open Play,understat
22794,1904,83,10,62,95.6500,33.8600,0.3033,Off T,Head,Set Piece,understat
22795,1904,550,21,19,94.6000,36.1800,0.0935,Saved,Head,Open Play,understat
22796,1904,541,21,48,76.2300,30.7400,0.0189,Off T,Right Foot,Open Play,understat
22797,1904,534,21,56,82.9500,30.6000,0.0345,Blocked,Right Foot,Open Play,understat
22798,1904,546,21,75,85.5700,39.1000,0.0414,Off T,Right Foot,Open Play,understat
22799,1904,541,21,80,92.7200,46.1700,0.0409,Off T,Left Foot,Open Play,understat
22800,1904,541,21,90,90.4000,31.6900,0.0120,Off T,Head,Open Play,understat
22801,1904,547,21,91,73.2900,33.5200,0.0153,Blocked,Right Foot,Open Play,understat
22802,1905,311,3,45,91.1400,22.1000,0.0793,Saved,Left Foot,Open Play,understat
22803,1905,311,3,57,95.1300,32.1600,0.0490,Saved,Head,From Corner,understat
22804,1905,307,3,82,87.6800,11.6300,0.0499,Post,Left Foot,Direct Freekick,understat
22805,1905,307,3,82,84.1000,22.9200,0.0294,Off T,Left Foot,Open Play,understat
22806,1906,612,5,25,90.6200,43.3200,0.1080,Off T,Left Foot,Open Play,understat
22807,1906,620,5,27,87.0500,36.0400,0.0586,Goal,Left Foot,Open Play,understat
22808,1906,620,5,49,92.9200,34.0000,0.7433,Saved,Left Foot,Penalty,understat
22809,1906,612,5,54,84.4200,43.4500,0.0424,Saved,Right Foot,Open Play,understat
22810,1906,604,5,59,82.3200,39.7800,0.0244,Goal,Right Foot,From Corner,understat
22811,1906,351,8,13,92.5000,32.7100,0.0159,Blocked,Head,From Corner,understat
22812,1906,354,8,13,93.1300,24.2100,0.0557,Off T,Right Foot,From Corner,understat
22813,1906,1161,8,13,100.2800,36.9200,0.4150,Goal,Head,From Corner,understat
22814,1906,329,8,18,94.1800,20.9400,0.0611,Saved,Right Foot,Open Play,understat
22815,1906,351,8,42,91.4500,40.2600,0.0125,Off T,Head,From Corner,understat
22816,1906,351,8,49,95.6500,49.4400,0.0406,Off T,Left Foot,Open Play,understat
22817,1906,346,8,68,74.9700,33.1800,0.0098,Off T,Left Foot,Open Play,understat
22818,1906,354,8,81,95.8700,37.3300,0.0563,Post,Head,Open Play,understat
22819,1906,320,8,83,97.0200,30.3300,0.3123,Off T,Head,From Corner,understat
22820,1907,393,11,15,79.0700,41.3400,0.0180,Saved,Left Foot,Open Play,understat
22821,1907,361,11,33,98.1800,28.1500,0.0264,Off T,Head,From Corner,understat
22822,1907,391,11,50,95.9700,22.7100,0.0487,Goal,Right Foot,Open Play,understat
22823,1907,393,11,59,95.5500,36.3100,0.4626,Saved,Left Foot,Open Play,understat
22824,1907,361,11,63,91.7700,41.7500,0.0617,Off T,Left Foot,Set Piece,understat
22825,1907,395,11,91,94.4000,35.5000,0.0982,Saved,Left Foot,Open Play,understat
22826,1907,307,3,5,96.9200,26.7200,0.4049,Saved,Right Foot,Open Play,understat
22827,1907,305,3,48,79.1700,24.7500,0.0264,Saved,Left Foot,Open Play,understat
22828,1907,307,3,49,93.9800,32.7100,0.0951,Off T,Head,Open Play,understat
22829,1907,307,3,62,94.5000,21.4200,0.0435,Saved,Left Foot,From Corner,understat
