canonical_id,canonical_name,nationality,birth_date,position,id_sofascore,id_understat,id_transfermarkt,id_statsbomb,id_whoscored,created_at
256,Andrei Rațiu,Rumania,1998-06-20,Lateral derecho,965031.0,7515.0,527966,,372331.0,2026-04-21 23:45:44.771660
793,Chumi,España,1999-03-02,Defensa central,913455.0,7226.0,333361,,365127.0,2026-04-21 23:45:44.771660
580,Luka Romero,Argentina,2004-11-18,Extremo derecho,1032022.0,8429.0,769063,,395395.0,2026-04-21 23:45:44.771660
817,Ibrahima Koné,Malí,1999-06-16,Delantero centro,873630.0,10381.0,490223,,354297.0,2026-04-21 23:45:44.771660
797,Bruno Langa,Mozambique,1997-10-31,Lateral izquierdo,987490.0,12403.0,631472,,390741.0,2026-04-21 23:45:44.771660
803,Dion Lopy,Senegal,2002-02-02,Pivote,982327.0,9450.0,649033,,412902.0,2026-04-21 23:45:44.771660
8,Juanma Herzog,España,2004-05-13,Defensa central,1513451.0,,1146029,,497198.0,2026-04-21 23:45:44.771660
892,Bertrand Traoré,Burkina Faso,1995-09-06,Extremo derecho,218160.0,695.0,131996,,109807.0,2026-04-21 23:45:44.771660
925,Adri López,España,1999-01-09,Portero,,,412042,,344157.0,2026-04-21 23:45:44.771660
739,Unai Egiluz,España,2002-03-19,Defensa central,,,834485,,497768.0,2026-04-21 23:45:44.771660
870,Jorge Moreno,España,2001-07-25,Defensa central,,,717957,,422964.0,2026-04-21 23:45:44.771660
663,Dimitrios Stamatakis,Grecia,2003-04-23,Portero,,,890817,,462462.0,2026-04-21 23:45:44.771660
679,Asier Osambela,España,2004-10-30,Mediocentro,,,1038512,,518928.0,2026-04-21 23:45:44.771660
1069,Max Svensson,España,2001-11-08,Delantero centro,,,705808,,444230.0,2026-04-21 23:45:44.771660
447,Djordjije Medenica,República Checa,2006-11-17,Portero,,,1130318,,514979.0,2026-04-21 23:45:44.771660
613,Jonathan Bamba,Costa de Marfil,1996-03-26,Extremo izquierdo,595576.0,3749.0,292818,,241019.0,2026-04-21 23:45:44.771660
903,Hugo González,España,2003-02-07,Extremo derecho,996931.0,10082.0,707279,,427117.0,2026-04-21 23:45:44.771660
901,Pablo Gozálbez,España,2001-04-30,Mediocentro ofensivo,996932.0,8473.0,622992,,389258.0,2026-04-21 23:45:44.771660
849,Ricardo Visus,España,2001-04-24,Defensa central,,,630989,,396431.0,2026-04-21 23:45:44.771660
779,Jonathan Viera,España,1989-10-21,Mediocentro ofensivo,129451.0,2358.0,153238,,91304.0,2026-04-21 23:45:44.771660
795,Paco Sanz,España,2004-11-15,Defensa central,,,1064116,,504365.0,2026-04-21 23:45:44.771660
101,Hamari Traoré,Malí,1992-01-27,Lateral derecho,362014.0,3239.0,297070,,289018.0,2026-04-21 23:45:44.771660
823,Kieran Tierney,Escocia,1997-06-05,Lateral izquierdo,366592.0,8089.0,300716,,297403.0,2026-04-21 23:45:44.771660
869,Pau Mascaró,España,2004-10-20,Delantero centro,,,947460,,508345.0,2026-04-21 23:45:44.771660
63,Mario Martín,España,2004-03-05,Pivote,1154549.0,11349.0,948273,,471047.0,2026-04-21 23:45:44.771660
951,Sergio Rodelas,España,2004-12-01,Extremo izquierdo,1526648.0,12624.0,1064103,,527324.0,2026-04-21 23:45:44.771660
763,Aingeru Olabarrieta,España,2005-11-14,Extremo derecho,1605227.0,12262.0,1056971,,511187.0,2026-04-21 23:45:44.771660
453,Nabil Aberdin,Marruecos,2002-08-23,Defensa central,1136806.0,12154.0,908621,,448428.0,2026-04-21 23:45:44.771660
794,Aleksandar Radovanovic,Serbia,1993-11-11,Defensa central,823996.0,9038.0,339501,,403916.0,2026-04-21 23:45:44.771660
